filepath,filename,Jam,Label_Telur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_1.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_1.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_2.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_2.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_3.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_3.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_4.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_4.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_5.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_5.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_6.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_6.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_7.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_7.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_8.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_8.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_9.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_9.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_10.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_10.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_11.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_11.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_12.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_12.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_13.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_13.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_14.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_14.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_15.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_15.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_16.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_16.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_17.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_17.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_18.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_18.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_19.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_19.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_20.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_20.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_21.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_21.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_22.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_22.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_23.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_23.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_24.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_24.png,12:30,ayampetelur
/content/drive/MyDrive/Kuning Telur - CV/Dataset_preprocessing_Cleaned256_Final/Kamera 440 - 480 lx/12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_25.png,12:30/1. Telur Ayam Petelur/kamera_440_480_lx_12_30_1_telur_ayam_petelur_25.png,12:30,ayampetelur
